tweet_id,date_and_time,tweet,
5.86267E+17,Thu Apr 09 20:37:18 +0000 2015,Tougher Vaccine Law In Calif. Clears First Hurdle http://khne.ws/1GQdDro http://pbs.twimg.com/media/CCLWazbUEAAmvjH.jpg,
5.8626E+17,Thu Apr 09 20:11:29 +0000 2015,A new sort of extracurricular activity: seeing patients. http://khne.ws/1ceRuaZ http://pbs.twimg.com/media/CCLQgiFUIAAC7nJ.jpg,
5.86239E+17,Thu Apr 09 18:46:24 +0000 2015,Houston firefighters have another tool at their disposal when answering calls: digital doctors http://khne.ws/1NfQjsp http://pbs.twimg.com/media/CCK9CYoUsAE4PP8.jpg,
5.86182E+17,Thu Apr 09 15:00:25 +0000 2015,Will #Montana expand its #Medicaid program? Some moderates there have revived the idea: http://khne.ws/1Do7UrB http://pbs.twimg.com/media/CCKJT7DUAAABcJj.jpg,
5.86159E+17,Thu Apr 09 13:30:44 +0000 2015,Rand Paul's campaign first day: abortion and the budget: http://khne.ws/1y8aJwC,
5.86159E+17,Thu Apr 09 13:29:47 +0000 2015,"Enroll America, A Group Dedicated To Promoting Health Law Sign Ups, To Cut 100 Jobs http://khne.ws/1HUROpc",
5.85917E+17,Wed Apr 08 21:28:45 +0000 2015,RT @LVGillespie: Ever look up #health #symptoms on a #computer? Retired @nlm_news director led the charge: http://khne.ws/1JowAkr,
5.85879E+17,Wed Apr 08 18:55:40 +0000 2015,Patch-Up-Job? http://khne.ws/1NaiTex #Obamacare http://pbs.twimg.com/media/CCF1kY-UMAAG1EX.jpg,
5.85878E+17,Wed Apr 08 18:54:17 +0000 2015,Still getting your taxes done? Your 2014 tax bill could be affected by your insurance. https://youtu.be/RSkNL32-3iE,
5.85851E+17,Wed Apr 08 17:05:36 +0000 2015,In medicine and use a computer? You probably have this man to thank ... @LVGillespie reports: http://khne.ws/1JowAkr http://ow.ly/i/ahlHl,
5.85841E+17,Wed Apr 08 16:26:24 +0000 2015,RT @cnnhealth: Two doctors fight for their own choice of how to die. Via @KHNews http://cnn.it/1yVmb9H http://pbs.twimg.com/media/CCEzaiiW0AAGxUb.jpg,
5.85486E+17,Tue Apr 07 16:53:38 +0000 2015,"RT @drshow: ""Evidence just doesn't support"" annual physicals, @JennyAGold reports: http://wamu.fm/1NQYhmG But that info isn't getting out t…",
5.85477E+17,Tue Apr 07 16:18:52 +0000 2015,Still getting your taxes done? Your 2014 tax bill could be affected by your insurance. Watch: http://kaiserhealthnews.org/news/khn-video-tax-deadline-meets-the-health-law/ http://pbs.twimg.com/media/CCAIFqWW0AAb-f5.jpg,
5.85455E+17,Tue Apr 07 14:50:12 +0000 2015,Rule Proposed On Providing Mental Health ‘Parity’ In Medicaid Program http://kaiserhealthnews.org/news/rule-proposed-on-providing-mental-health-parity-in-medicaid-program/ http://pbs.twimg.com/media/CB_zy3PVEAEExJB.jpg,
5.85141E+17,Mon Apr 06 18:04:24 +0000 2015,Battle For Mental Health Parity Produces Mixed Results http://kaiserhealthnews.org/news/battle-for-mental-health-parity-produces-mixed-results/ http://pbs.twimg.com/media/CB7WpyZVEAAeCOM.jpg,
5.8513E+17,Mon Apr 06 17:19:44 +0000 2015,High-Deductible Health Plans Can Ruin Finances http://kaiserhealthnews.org/news/high-deductible-health-plans-can-ruin-finances/,
