tweet_id,date_and_time,tweet
5.48618E+17,Fri Dec 26 23:13:35 +0000 2014,Ebola Exposure?: CDC Worker 'Remains Well' http://nbcnews.to/1tmYMkv
5.48569E+17,Fri Dec 26 20:02:09 +0000 2014,Pregnant Woman Taken Off Life Support in Ireland http://nbcnews.to/1BcYvPG
5.48533E+17,Fri Dec 26 17:38:55 +0000 2014,Money from #IceBucketChallenge still flowing to ALS Association where leaders remain awestruck by gush of goodwill: http://ow.ly/GseY3
5.48531E+17,Fri Dec 26 17:29:48 +0000 2014,Caramel Apples Recalled After Listeria Deaths http://nbcnews.to/1EqpPjj
5.48195E+17,Thu Dec 25 19:13:24 +0000 2014,Ice Bucket Challenge Still Rains Bucks on ALS http://nbcnews.to/1thdMAd
5.479E+17,Wed Dec 24 23:43:24 +0000 2014,"Following mistake and possible exposures at #CDC #Ebola lab, health of involved staff to be monitored for 21 days. http://ow.ly/GpzmS"
5.47881E+17,Wed Dec 24 22:26:53 +0000 2014,CDC Reports Possible Ebola Exposure at Containment Lab http://nbcnews.to/1CLABvX
5.47809E+17,Wed Dec 24 17:41:42 +0000 2014,Why Stress-Fueled Indulgences Don't Bring Joy http://nbcnews.to/1vbYiYB
5.47756E+17,Wed Dec 24 14:08:05 +0000 2014,Delayed Concussions? 'Common' and 'Tricky' http://nbcnews.to/1EdtTDx
5.47537E+17,Tue Dec 23 23:41:13 +0000 2014,Gay Groups Decry FDA Rule Requiring No Sex to Give Blood http://nbcnews.to/1zgmtY8
5.4747E+17,Tue Dec 23 19:13:20 +0000 2014,FDA Plans to Ease Ban on Blood Donations by Gay Men http://nbcnews.to/1CDgVKG
5.47463E+17,Tue Dec 23 18:45:00 +0000 2014,FDA Proposes Easing Ban on Blood Donations by Gay Men http://nbcnews.to/1zuy6Qa
5.47459E+17,Tue Dec 23 18:27:46 +0000 2014,Nearly 2 Million More People Choose ObamaCare http://nbcnews.to/13BkCEA
5.47439E+17,Tue Dec 23 17:09:32 +0000 2014,Beyond Narcan: Why the Life-Saving Heroin Antidote Isn't a Cure http://nbcnews.to/16NjUWM
5.47398E+17,Tue Dec 23 14:27:38 +0000 2014,Joan Lunden: 'I Can See the Finish Line' in Cancer Battle http://nbcnews.to/1ztxbzv
5.47387E+17,Tue Dec 23 13:42:05 +0000 2014,Joan Lunden: 'I Can See the Finish Line' In Cancer Battle http://nbcnews.to/1ADCoE6
5.47334E+17,Tue Dec 23 10:11:36 +0000 2014,Deadly 2015: Can Ebola's Rampage in Africa Be Stopped? http://nbcnews.to/1B17DXv
5.47235E+17,Tue Dec 23 03:41:16 +0000 2014,Boy With Rare Disease Donates His Toys to UCLA Hospital http://nbcnews.to/1B0cRTp
5.47092E+17,Mon Dec 22 18:12:07 +0000 2014,Secrets From World's Oldest Yoga Teacher: 'I Don't Believe in Age' http://nbcnews.to/1t22uzR
5.46978E+17,Mon Dec 22 10:37:11 +0000 2014,Obamacare by the Numbers: What a Difference a Year Makes http://nbcnews.to/1znY0Fm
5.46831E+17,Mon Dec 22 00:55:05 +0000 2014,California Gets Worst Whooping Cough Outbreak in Decades http://nbcnews.to/1AMM1yo
5.46692E+17,Sun Dec 21 15:41:22 +0000 2014,"Aging Tsunami: As Crisis Grows, a Search for Help http://nbcnews.to/1x90YgE"
5.46672E+17,Sun Dec 21 14:22:49 +0000 2014,What's This 104-Year-Old's Formula for Longevity? http://nbcnews.to/13rkdob
5.46616E+17,Sun Dec 21 10:39:26 +0000 2014,Star Goalie's New Role Inspires Others With Tourette's http://nbcnews.to/1z8qKg6
5.46604E+17,Sun Dec 21 09:52:21 +0000 2014,How One Woman Makes a Difference Against Ebola http://nbcnews.to/1CncO5i
5.4639E+17,Sat Dec 20 19:40:01 +0000 2014,Aging Tsunami: Montana's Aging Crisis Takes a Village http://nbcnews.to/1AqCGOg
5.46353E+17,Sat Dec 20 17:13:17 +0000 2014,Flu Cases Surge in the US http://nbcnews.to/1wOCXJS
5.46308E+17,Sat Dec 20 14:17:00 +0000 2014,Meet Four People Who Lost 100 Pounds -- and Kept It Off http://nbcnews.to/1wyA1kF
