tweet_id,date_and_time,tweet
3.04597E+17,Thu Feb 21 14:21:27 +0000 2013,#FastFood Makes Up 11 Percent of #Calories in U.S. #Diet http://bit.ly/VymaIc
3.04595E+17,Thu Feb 21 14:15:27 +0000 2013,"10 snacks to help you lose weight, burn fat, and build muscle: http://bit.ly/TeQPqk"
3.04588E+17,Thu Feb 21 13:45:31 +0000 2013,10 foods that boost your skin AND slim your waistline: http://trib.al/LDbxW6
3.0458E+17,Thu Feb 21 13:15:22 +0000 2013,What a heart attack feels like in women (it's different than in men) http://bit.ly/InrWrC #GoRed
3.04573E+17,Thu Feb 21 12:45:31 +0000 2013,#McDonalds oatmeal has almost 7 teaspoons of sugar in it! More healthy fast food that isn't: http://bit.ly/GGM5bA
3.04565E+17,Thu Feb 21 12:15:21 +0000 2013,10 foods that boost your skin AND slim your waistline: http://trib.al/4eRjME
3.04557E+17,Thu Feb 21 11:45:13 +0000 2013,"Skipping Kegels, using talcum powder, and more vaginal health mistakes you're probably making http://bit.ly/yWptJ7"
3.0455E+17,Thu Feb 21 11:15:16 +0000 2013,10 foods that boost your skin AND slim your waistline: http://bit.ly/R7OpqA
3.04542E+17,Thu Feb 21 10:45:14 +0000 2013,"Today's to do for a happier you: Perform a random act of kindness (it'll make YOU feel better, too) http://bit.ly/HxUJEn"
3.04535E+17,Thu Feb 21 10:15:16 +0000 2013,Depression isn't the same for everybody. Here are 9 different faces of the disorder: http://bit.ly/HXuSpU
3.04527E+17,Thu Feb 21 09:45:15 +0000 2013,Why cutting out these unhealthy foods may actually make you a nicer person: http://bit.ly/yTBw80
3.0452E+17,Thu Feb 21 09:15:16 +0000 2013,The worst snacks for your health: http://bit.ly/xbkHC0
3.04512E+17,Thu Feb 21 08:45:10 +0000 2013,"Why you should have sex today, tomorrow, the next day, AND the day after that: http://trib.al/wMjJUG"
3.04505E+17,Thu Feb 21 08:15:19 +0000 2013,A @jillianmichaels bootcamp for your chest: http://bit.ly/YLPgnc
3.04497E+17,Thu Feb 21 07:45:10 +0000 2013,How to exercise your way to better sex: http://trib.al/iLlHOR
3.04489E+17,Thu Feb 21 07:15:17 +0000 2013,Overdid it yesterday on chocolate? How to burn up to 500 calories in just 20 minutes: http://bit.ly/wyXSKB
3.04482E+17,Thu Feb 21 06:45:12 +0000 2013,9 weird things running does to your body: http://bit.ly/HIMacH
3.04474E+17,Thu Feb 21 06:15:13 +0000 2013,"A His and Her Guide to Oral Stimulation. Read, share, love: http://bit.ly/Hb4f20"
3.04467E+17,Thu Feb 21 05:45:09 +0000 2013,Does muscle really burn more calories than fat? That plus more answers to your burning fat questions: http://trib.al/YXvpJx
3.04459E+17,Thu Feb 21 05:15:20 +0000 2013,"Binge drinking is a problem among women and girls in the U.S., according to a new report. http://bit.ly/U4HEdQ"
3.04452E+17,Thu Feb 21 04:45:19 +0000 2013,Why we yawn - and why yawning is contagious: http://trib.al/NxtEcR
3.04437E+17,Thu Feb 21 03:45:17 +0000 2013,Fiber-rich foods to add to your diet ASAP: http://bit.ly/T2lpU6
3.04433E+17,Thu Feb 21 03:30:07 +0000 2013,The truth behind #HIV #myths http://bit.ly/YnEeSn #sexualhealth
3.04429E+17,Thu Feb 21 03:15:16 +0000 2013,Bored with your routine? Try these fun fitness swaps to supercharge your routine! http://trib.al/Z0JjTe
3.04421E+17,Thu Feb 21 02:45:14 +0000 2013,"Want to lose weight? Exercise harder, not longer! How to tell if you're working hard enough: http://bit.ly/TngoWp"
3.04414E+17,Thu Feb 21 02:15:19 +0000 2013,The 6 worst times for his sex life: http://bit.ly/zutyZW
3.04406E+17,Thu Feb 21 01:45:21 +0000 2013,"#FastFood Tied to Asthma, Eczema, and Hay Fever in Kids http://bit.ly/UlfGut"
3.04399E+17,Thu Feb 21 01:15:19 +0000 2013,6 foods that can change your life: http://bit.ly/yCNop5
3.04396E+17,Thu Feb 21 01:05:21 +0000 2013,Everyday Health Daily Digest is out! http://paper.li/EverydayHealth/1340975022
3.04392E+17,Thu Feb 21 00:48:04 +0000 2013,"More than 1 in 3 U.S. adults have prediabetes, and the numbers are rising. Learn how to eat to lower your risk: http://bit.ly/155TOrX"
3.04391E+17,Thu Feb 21 00:45:12 +0000 2013,Could this flu season be the worst ... ever? http://bit.ly/Vnwmkm
3.04384E+17,Thu Feb 21 00:15:26 +0000 2013,"There really is something to that whole runner's high"". 7 great exercise that can help fight depression: http://bit.ly/xrJsuW"""
3.0438E+17,Thu Feb 21 00:00:30 +0000 2013,Join us for a #HealthTalk Thurs @ 1 pm ET to learn about #autism. Dr Lisa Shulman of @EinsteinMed will answer ur Q's http://ow.ly/hTS7J
3.0438E+17,Thu Feb 21 00:00:07 +0000 2013,Stress is bad for your #heart and mind. 6 ways to kick it to the curb: http://bit.ly/11t6Hy7 #HeartHealthMonth
3.04376E+17,Wed Feb 20 23:45:16 +0000 2013,Want killer abs? @JillianMichaels shows you how get them: http://bit.ly/NNsFUd
3.04369E+17,Wed Feb 20 23:15:17 +0000 2013,Alzheimer's Vaccine Shows Promise http://bit.ly/10dj5kk
3.04361E+17,Wed Feb 20 22:45:24 +0000 2013,Terrified of childbirth pain? How the love hormone may help women: http://bit.ly/VIs4TP
3.04358E+17,Wed Feb 20 22:34:51 +0000 2013,"Missed our #heart-health #HealthTalk today w/ @RMichlerMD, @montefioreNYC &amp; @foundersheart? Check out the recap here! http://ow.ly/hTS2e"
3.04354E+17,Wed Feb 20 22:15:28 +0000 2013,Feeling a little backed up? Hit the gym. More amazing benefits of exercise: http://trib.al/eD95Gw
3.04353E+17,Wed Feb 20 22:12:36 +0000 2013,A new gadget developed at the Mayo Clinic prevents stomach acid from entering the esophagus: http://bit.ly/15w0Uam
3.0435E+17,Wed Feb 20 22:00:11 +0000 2013,"To help prevent cancer, be sure to mind your ABCs. Here are the nutrients that are vital. http://bit.ly/155GPGE"
3.04346E+17,Wed Feb 20 21:45:21 +0000 2013,Bikini Waxing Credited With Decline in #PubicLice http://bit.ly/ZUrqV8
3.04339E+17,Wed Feb 20 21:15:30 +0000 2013,Fake #poop treats stomach bacteria http://bit.ly/UKV7Yh
3.04331E+17,Wed Feb 20 20:45:23 +0000 2013,Have you seen the latest health tech gadgets for 2012? http://bit.ly/VQCBj8
3.04323E+17,Wed Feb 20 20:15:28 +0000 2013,The healthiest cooking oils to use in the kitchen: http://bit.ly/xjp08G
3.04317E+17,Wed Feb 20 19:48:33 +0000 2013,ATTN Parents: How much do you know about #autism? Join us for a #HealthTalk tomorrow @ 1 pm ET to learn the facts. http://ow.ly/hTzaV
3.04316E+17,Wed Feb 20 19:45:28 +0000 2013,Common Blood Pressure Med May Lower Risk of Dementia http://bit.ly/WJuTnE
3.04308E+17,Wed Feb 20 19:15:28 +0000 2013,What's the connection between marriage and health? http://bit.ly/TXV908
3.04306E+17,Wed Feb 20 19:04:55 +0000 2013,"RT @MontefioreNYC: Thanks everyone for the questions, special thanks to our hosts at @EverydayHealth &amp; @FoundersHeart !! #HealthTalk"
3.04306E+17,Wed Feb 20 19:04:48 +0000 2013,RT @foundersheart: @EverydayHealth @RMichlerMD @MontefioreNYC Thanks to everyone who joined us and for having us! #HeartHealth #HealthTalk
3.04306E+17,Wed Feb 20 19:04:38 +0000 2013,RT @RMichlerMD: Happy Heart Month to everyone! Prevention is key. http://www.montefiore.org/heartmonth #healthtalk
3.04305E+17,Wed Feb 20 19:01:45 +0000 2013,RT @RMichlerMD: A10: #StemCell therapy for treatment of #HeartDisease is on the horizon! #healthtalk
3.04305E+17,Wed Feb 20 19:01:05 +0000 2013,RT @MontefioreNYC: The future of #heart treatment: How #StemCell research can improve the heart http://mmcny.org/WDdbWv [VID] #HealthTalk
3.04305E+17,Wed Feb 20 19:00:49 +0000 2013,"RT @RMichlerMD: A10: Better and less invasive treatments for those who have #HeartDisease, incld #StemCells. #1 focus needs to be on prevention! #healthtalk"
3.04305E+17,Wed Feb 20 19:00:41 +0000 2013,Looks like we're out of time! Thank you @RMichlerMD @montefioreNYC @foundersheart &amp; everyone who participated! #healthtalk
3.04304E+17,Wed Feb 20 18:59:14 +0000 2013,RT @chi_stylish: I want to know if taking red wine when on anti hypertensive medications is dangerous #HealthTalk
3.04304E+17,Wed Feb 20 18:58:22 +0000 2013,RT @RMichlerMD: A10: Important to increase awareness of #HeartDisease the risk factors! #healthtalk
3.04304E+17,Wed Feb 20 18:57:35 +0000 2013,RT @MontefioreNYC: We're a national leader in providing clinical best practices for all #heartdisease pts http://www.montefiore.org/heartmonth #HealthTalk
3.04304E+17,Wed Feb 20 18:56:30 +0000 2013,"RT @TheHeartTruth: A4: @EverydayHealth, people with high cholesterol have a greater chance of developing heart disease #HealthTalk http://twitter.com/TheHeartTruth/status/304303368908713984/photo/1"
3.04303E+17,Wed Feb 20 18:54:44 +0000 2013,Q10: What's on the horizon in heart disease treatment? #HealthTalk
3.04303E+17,Wed Feb 20 18:54:36 +0000 2013,"RT @tobaccofreefla: .@EverydayHealth A8. Quit smoking to reduce the risk. 1 year after quitting, risk of heart attack can be cut in half. #HealthTalk"
3.04303E+17,Wed Feb 20 18:52:48 +0000 2013,RT @Ashley_LizWelch: Check out these 10 fast (and fun) #Heart facts from @everydayhealth http://bit.ly/YGA5JV #HealthTalk
3.04303E+17,Wed Feb 20 18:52:40 +0000 2013,"RT @TheHeartTruth: A8: @EverydayHealth, decreasing heart disease risk starts with managing risk factors: http://owl.li/hTrms #HealthTalk"
3.04302E+17,Wed Feb 20 18:51:17 +0000 2013,Q9: Does anyone have questions for our expert? Ask now! #HealthTalk
3.04302E+17,Wed Feb 20 18:50:32 +0000 2013,"RT @ChristysChomp: @EverydayHealth A8: lifestyle mod like exercise, plant-based diet, not smoking &amp; losing wt are huge factors w/ ht health. #HealthTalk"
3.04302E+17,Wed Feb 20 18:50:19 +0000 2013,"RT @RMichlerMD: A8: Anyone over the age of 40, esp w fam history, needs to see their fam doc to discuss risk of #HeartDisease. #healthtalk"
3.04302E+17,Wed Feb 20 18:50:05 +0000 2013,"RT @TheHeartTruth: A6: @EverydayHealth, if you think you're having a heart attack, call 911! Heart attack warning symptoms: http://owl.li/hTqSb #HealthTalk"
3.04302E+17,Wed Feb 20 18:49:28 +0000 2013,"RT @foundersheart: @EverydayHealth A8: It's mostly about controlling risk factors; very simply, eat less and move more #HealthTalk #HeartHealth"
3.04302E+17,Wed Feb 20 18:49:07 +0000 2013,"RT @RMichlerMD: A8: Focus on diet and exercise. Learn your risk factors and reduce their impact. If u have fam history, see your doc annually. #healthtalk"
3.04301E+17,Wed Feb 20 18:47:04 +0000 2013,Q8: How can I decrease my risk of heart disease? #HealthTalk
3.04301E+17,Wed Feb 20 18:46:05 +0000 2013,RT @MontefioreNYC: More on how #BirthControl affects #hearthealth http://mmcny.org/11oNXPs [VID] #HealthTalk
3.04301E+17,Wed Feb 20 18:45:23 +0000 2013,Black is the new green! 7 powerful black superfoods you might be missing: http://trib.al/oUQLCA
3.043E+17,Wed Feb 20 18:44:25 +0000 2013,"RT @MontefioreNYC: FACT: About 600,000 Americans die from #HeartDisease each year -- or 1 in 4 deaths annually #HealthTalk"
3.043E+17,Wed Feb 20 18:44:14 +0000 2013,"RT @RMichlerMD: A7: Many authorities would say yes, bc of increased risk of clot formation. #healthtalk"
3.043E+17,Wed Feb 20 18:43:42 +0000 2013,RT @RMichlerMD: @EverydayHealth A7: Very good &amp; interesting question.Remains highly debatable. #healthtalk
3.043E+17,Wed Feb 20 18:42:11 +0000 2013,"RT @foundersheart: @EverydayHealth A6: Call 911, call your doctor, or go to the emergency room #HealthTalk"
