tweet_id,date_and_time,tweet,
5.85892E+17,Wed Apr 08 19:48:05 +0000 2015,Are you a member of the network? Sign up here for free: https://register.theguardian.com/healthcare-professionals/ #NHS #healthcare,
5.85877E+17,Wed Apr 08 18:47:08 +0000 2015,What is palliative care like in India? One GP trainee explains all: http://gu.com/p/47a4g/stw,
5.85862E+17,Wed Apr 08 17:49:07 +0000 2015,"Most viewed this week: I loved being a midwife but bullying, stress and fear made me resign http://gu.com/p/46zc4/stw #ViewsfromtheNHSfrontline",
5.8586E+17,Wed Apr 08 17:41:03 +0000 2015,How can technology improve mental health waiting times? http://gu.com/p/476ky/stw #mentalhealth #NHS,
5.85844E+17,Wed Apr 08 16:39:39 +0000 2015,In case you missed it: Why the #NHS shouldn’t hog the limelight this #generalelection http://gu.com/p/477tc/stw,
5.85801E+17,Wed Apr 08 13:45:04 +0000 2015,India is a stark example of how commodifying healthcare can lead to corruption http://gu.com/p/47a4g/stw,
5.85785E+17,Wed Apr 08 12:43:16 +0000 2015,Popular on the network now: I've seen first-hand how palliative care in India is compromised by privatisation http://gu.com/p/47a4g/stw,
5.85772E+17,Wed Apr 08 11:52:18 +0000 2015,Are there any topics you think we should be covering? Or anyone you'd like to see write for us?,
5.85754E+17,Wed Apr 08 10:40:15 +0000 2015,Lots of debate going on under this piece saying the #NHS should not be the focus this #generalelection. Join in here: http://www.theguardian.com/healthcare-network/2015/apr/07/why-nhs-should-not-hog-limelight-general-election#comments,
5.85745E+17,Wed Apr 08 10:06:07 +0000 2015,Our weekly newsletter is about to go out. Sign up to get it free here: https://register.theguardian.com/healthcare-professionals/ #NHS #healthcare,
5.85724E+17,Wed Apr 08 08:39:54 +0000 2015,New today: I've seen first-hand how palliative care in India is compromised by privatisation http://gu.com/p/47a4g/stw,
5.85722E+17,Wed Apr 08 08:32:11 +0000 2015,More than 140 top doctors attack government record on NHS http://gu.com/p/47ajt/stw via @guardian,
5.85531E+17,Tue Apr 07 19:53:04 +0000 2015,Don't miss: Technology could prevent mental health waiting times http://www.theguardian.com/healthcare-network/2015/apr/02/technology-mental-health-waiting-times #mentalhealth,
5.85515E+17,Tue Apr 07 18:50:14 +0000 2015,Most read today: Why the #NHS shouldn’t hog the limelight this general election http://gu.com/p/477tc/stw,
5.855E+17,Tue Apr 07 17:49:03 +0000 2015,New today: I've seen first-hand how palliative care in India is compromised by privatisation http://gu.com/p/47a4g/stw #healthcare,
5.85484E+17,Tue Apr 07 16:48:08 +0000 2015,I hope that 2015 will be the year the NHS will learn to share the limelight http://gu.com/p/477tc/stw #generalelection,
5.85438E+17,Tue Apr 07 13:45:14 +0000 2015,Foreign born British HIV patients talk to @viceuk about Nigel Farage's 'health tourist' comments http://www.vice.com/en_uk/read/hiv-health-tourists-nigel-farage-932,
5.85431E+17,Tue Apr 07 13:16:47 +0000 2015,Why the UK public sector is slow to adopt the internet of things http://gu.com/p/476fa/stw via @Guardianpublic,
5.85411E+17,Tue Apr 07 11:59:05 +0000 2015,Our free newsletter goes out tomorrow. Sign up to receive it here: https://register.theguardian.com/healthcare-professionals/ #NHS #healthcare,
5.85409E+17,Tue Apr 07 11:50:03 +0000 2015,RT @_louisethomas: @GdnHealthcare @guardian I wonder how many of these patients could have been seen elsewhere? Integrated care gives us mo…,
