tweet_id,date_and_time,tweet,,
5.77117E+17,Sun Mar 15 14:40:15 +0000 2015,It’s not hard to get a little cardio in at home! @KristinMcGee has an awesome plyometric move you can do anywhere: http://ow.ly/KiDDJ,,
5.77083E+17,Sun Mar 15 12:25:17 +0000 2015,Beauty really does come from within. Discover wellness tips over on our sister site @mimichatter: http://ow.ly/Kjrio,,
5.7704E+17,Sun Mar 15 09:35:05 +0000 2015,Busted! 15 myths and facts you really need to know about cellulite: http://ow.ly/KiIY0,,
5.77011E+17,Sun Mar 15 07:40:25 +0000 2015,Get rid of a puffy tummy! See the 13 best (and WORST) foods to beat bloat and gas: http://ow.ly/KiJeY,,
5.7698E+17,Sun Mar 15 05:35:06 +0000 2015,Pillow talk: Find the perfect pillow for your p.m. pose with our handy guide: http://ow.ly/KiICW,,
5.76946E+17,Sun Mar 15 03:20:18 +0000 2015,Not getting enough sleep night after night can really take a toll on your health. See 11 signs you're sleep deprived: http://ow.ly/KiGp3,,
5.76936E+17,Sun Mar 15 02:40:17 +0000 2015,Bring some life back to those strands! See 10 ways to get healthier hair STAT: http://ow.ly/KiDNu,,
5.76902E+17,Sun Mar 15 00:25:09 +0000 2015,Tone up and lose weight at the same time with these 5 strength training moves: http://ow.ly/KfQ7z,,
5.76876E+17,Sat Mar 14 22:40:21 +0000 2015,Dining out tonight? Find the healthiest food options on the menu with these tricks: http://ow.ly/Kg8Fr,,
5.76849E+17,Sat Mar 14 20:55:18 +0000 2015,7 moves for better balance: http://ow.ly/Kiex9,,
5.76816E+17,Sat Mar 14 18:45:12 +0000 2015,How much do you really know about inflammation? Here are 13 ways it can affect your health: http://ow.ly/KitKZ,,
5.76783E+17,Sat Mar 14 16:31:05 +0000 2015,How to eat clean without driving yourself totally crazy: http://ow.ly/KcQCe,,
5.76755E+17,Sat Mar 14 14:40:29 +0000 2015,Sleeveless season will be here soon. Be prepared and try these 11 moves for a sleek upper body: http://ow.ly/KfNFL,,
5.76721E+17,Sat Mar 14 12:25:09 +0000 2015,You’ll slash calories easy if you follow these simple food swaps: http://ow.ly/KiGEU,,
5.76678E+17,Sat Mar 14 09:35:08 +0000 2015,Try these fat-burning breakfast ideas to kick up your body's metabolism all day long: http://ow.ly/KiH14,,
5.76649E+17,Sat Mar 14 07:40:11 +0000 2015,7 annoying side effects of taking birth control (and how to solve them): http://ow.ly/KiGxc,,
5.76618E+17,Sat Mar 14 05:35:03 +0000 2015,Feeling under the weather? See what 10 home remedies you can find in your kitchen --&gt; http://ow.ly/KiDdR,,
5.76601E+17,Sat Mar 14 04:30:30 +0000 2015,"If you’re packing on the pounds and can’t find the source, you might want to check your pillow. http://ow.ly/KcRpI",,
5.7659E+17,Sat Mar 14 03:45:25 +0000 2015,7 Healthier Shamrock Shakes You Can Make at Home http://wp.me/p2yZYB-vQz http://pbs.twimg.com/media/CAB1e-SWsAEuM8v.jpg,,
5.76582E+17,Sat Mar 14 03:15:14 +0000 2015,Why Women With Acne Should Try Charcoal For Clearer Skin http://wp.me/p2yZYB-vTP  via @POPSUGARBeauty http://pbs.twimg.com/media/CABuk1KU0AErILl.jpg,,
5.76574E+17,Sat Mar 14 02:40:12 +0000 2015,"Sorry guys, but women have the advantage with these 10 awesome health benefits: http://ow.ly/KfD7v",,
5.76567E+17,Sat Mar 14 02:15:14 +0000 2015,50 Ways to Cover Your Gray http://wp.me/p2yZYB-vOh http://pbs.twimg.com/media/CABg1vDU0AAR32k.jpg,,
5.7656E+17,Sat Mar 14 01:45:19 +0000 2015,Celebrity Chef’s ‘Paleo for Babies’ Book On Hold Over Infant-Death Fears http://wp.me/p2yZYB-vWf via @TIME http://ow.ly/i/90iIX,,
5.76552E+17,Sat Mar 14 01:15:21 +0000 2015,We Tried It: Jennifer Love Hewitt’s Buti Yoga Workout http://wp.me/p2yZYB-vTu  via @greatideas http://pbs.twimg.com/media/CABTIq6WsAATSTP.jpg,,
5.76545E+17,Sat Mar 14 00:45:26 +0000 2015,Chapped Lips? Try One of These 6 Cult Favorite Lip Balms  http://ow.ly/KiUzS http://pbs.twimg.com/media/CABMSY1UsAAdLmV.jpg,,
5.7654E+17,Sat Mar 14 00:25:08 +0000 2015,Say goodbye to your belly flab! These 20 fast fat burners make torching calories easy: http://ow.ly/KfYaZ,,
5.76534E+17,Sat Mar 14 00:03:01 +0000 2015,Enjoy an aah-mazing weekend with HEALTH editors at @CanyonRanch. Exclusive offer with code HealthTotalWellness http://ow.ly/FqL0d,,
5.76513E+17,Fri Mar 13 22:40:22 +0000 2015,Put down the saltshaker. Try one of these 16 natural flavor enhancers instead to slash your sodium intake: http://ow.ly/KfOMU,,
5.76487E+17,Fri Mar 13 20:55:20 +0000 2015,Forget gym equipment to tone your butt. This hip bridge exercise is all you need: http://ow.ly/KfBLQ,,
5.76454E+17,Fri Mar 13 18:45:27 +0000 2015,Being sick is no fun. Know the best (and worst) foods for your symptoms can help bring relief: http://ow.ly/KfUX0,,
5.76423E+17,Fri Mar 13 16:40:27 +0000 2015,The amazing @AnnaKFaris from @MomCBS is our April cover star! See our full interview here: http://ow.ly/KiauV http://pbs.twimg.com/media/B__dSQHWQAAydZq.jpg,,
