tweet_id,date_and_time,tweet
5.47824E+17,Wed Dec 24 18:40:33 +0000 2014,Would You Like Health Insurance With Those Stocking Stuffers? http://n.pr/1CKulog
5.47764E+17,Wed Dec 24 14:41:04 +0000 2014,New Blood Donation Rules Would Still Exclude Many Gay Men http://n.pr/1CJ9IsG
5.47672E+17,Wed Dec 24 08:34:09 +0000 2014,Obama Administration Downplays Court Challenge To Health Law http://n.pr/1CHaDd6
5.47672E+17,Wed Dec 24 08:34:08 +0000 2014,"Christmas In Liberia: Ebola Fears, No Snow, Holiday Spirit http://n.pr/1CHaAxQ"
5.47672E+17,Wed Dec 24 08:34:06 +0000 2014,Costly Hepatitis C Drugs Threaten To Bust Prison Budgets http://n.pr/1CHaCFX
5.47464E+17,Tue Dec 23 18:49:04 +0000 2014,Floating Toilets That Clean Themselves Grow On A Lake http://n.pr/1CwBBH8
5.47427E+17,Tue Dec 23 16:21:29 +0000 2014,Being Thin Doesn't Spare Asian-Americans From Diabetes Risk http://n.pr/1CvRzBi
5.47415E+17,Tue Dec 23 15:33:34 +0000 2014,Can I Keep My Marketplace Insurance If I Enroll In Medicare? http://n.pr/1CC0eiQ
5.47309E+17,Tue Dec 23 08:35:04 +0000 2014,Baby Thrives Once 3D-Printed Windpipe Helps Him Breathe http://n.pr/1CtPkOZ
5.47145E+17,Mon Dec 22 21:41:03 +0000 2014,"Is Your Heart Doctor In? If Not, You Might Not Be Any Worse Off http://n.pr/1Cr8sND"
5.47141E+17,Mon Dec 22 21:25:02 +0000 2014,"To Patients With Heart Conditions, It's OK For Your Cardiologist To Take Time Off http://n.pr/1Cr4a8N"
5.47121E+17,Mon Dec 22 20:05:04 +0000 2014,"When Humans Quit Hunting And Gathering, Their Bones Got Wimpy http://n.pr/1CqGvp1"
5.46951E+17,Mon Dec 22 08:49:04 +0000 2014,"A Family's Long Search For Fragile X Drug Finds Frustration, Hope http://n.pr/1CsVIDk"
5.46658E+17,Sun Dec 21 13:27:41 +0000 2014,"For Those Suffering Chronic Pain, The Hardest Part Is Convincing Others http://n.pr/1Cix2QD"
5.46623E+17,Sun Dec 21 11:06:26 +0000 2014,Why Does It Take A Movie Robot To Show What Nurses Really Do? http://n.pr/1ChZQsy
5.46603E+17,Sun Dec 21 09:48:14 +0000 2014,Why Does It Take A Movie Robot To Show What Nurses Really Do? http://n.pr/1CnbTlE
5.46368E+17,Sat Dec 20 18:13:04 +0000 2014,"U.N. Reports More Than 7,000 Ebola Deaths Since March http://n.pr/1CjvIdt"
5.46276E+17,Sat Dec 20 12:10:04 +0000 2014,The Africa I Know Isn't The Africa In The Headlines Today http://n.pr/1ChSKS0
5.46064E+17,Fri Dec 19 22:06:21 +0000 2014,CDC Head: Key Interventions Have Slowed Ebola's Spread http://n.pr/1CevKmT
5.4602E+17,Fri Dec 19 19:12:40 +0000 2014,"At Last, I Meet My Microbes http://n.pr/1CdsRmf"
5.4598E+17,Fri Dec 19 16:34:04 +0000 2014,A Nurse's Desperate Plea: Show Me The Ebola Money http://n.pr/1C94qcz
5.45972E+17,Fri Dec 19 16:00:28 +0000 2014,"Some Early Childhood Experiences Shape Adult Life, But Which? http://n.pr/1C8UmjJ"
5.45956E+17,Fri Dec 19 14:57:20 +0000 2014,Teaching Hospitals Hit Hardest By Medicare Fines For Patient Safety http://n.pr/1Cc0BR7
5.45883E+17,Fri Dec 19 10:06:05 +0000 2014,When A Hospital Bill Becomes A Decade-Long Pay Cut http://n.pr/1CaudhG
5.45686E+17,Thu Dec 18 21:04:35 +0000 2014,And The Award For Most Offensive Fund-Raising Video Goes To... http://n.pr/1AlhgSS
5.45661E+17,Thu Dec 18 19:26:33 +0000 2014,NIH Allows Restart Of MERS Research That Had Been Questioned http://n.pr/1AkGJvH
5.45625E+17,Thu Dec 18 17:02:34 +0000 2014,Death Comes In Many Different Ways. And Some Are A Bit Surprising http://n.pr/1AjMnOu
5.45625E+17,Thu Dec 18 17:02:33 +0000 2014,California Whooping Cough Infections Run High Among Latino Babies http://n.pr/1AjMmKt
5.45605E+17,Thu Dec 18 15:41:34 +0000 2014,Is Your State Ready For The Next Infectious Outbreak? Probably Not http://n.pr/1C5v03t
5.45593E+17,Thu Dec 18 14:55:14 +0000 2014,Worries About Unusual Botulinum Toxin Prove Unfounded http://n.pr/1AiXmIf
5.45593E+17,Thu Dec 18 14:55:13 +0000 2014,Pakistan Keeps On Vaccinating Despite Tough Terrain And Terror Threat http://n.pr/1AiXmHW
5.45331E+17,Wed Dec 17 21:34:34 +0000 2014,Medical Workers In Conflict Zones Have Never Faced Greater Risks http://n.pr/1C0mZwu
5.45327E+17,Wed Dec 17 21:18:03 +0000 2014,"Dreaming Up A Safer, Cooler PPE For Ebola Fighters http://n.pr/1DPOyxc"
5.45323E+17,Wed Dec 17 21:02:04 +0000 2014,What Happens After You Get That Mammogram http://n.pr/1DPJXLF
5.45287E+17,Wed Dec 17 18:38:33 +0000 2014,Managed Care Plans Make Progress In Erasing Racial Disparities http://n.pr/1BZpjDZ
5.45267E+17,Wed Dec 17 17:19:03 +0000 2014,Behind The Scenes At The Lab That Fingerprints Microbiomes http://n.pr/1BYXPyz
5.45158E+17,Wed Dec 17 10:06:58 +0000 2014,"Too Little, Too Late For Many New Yorkers Seeking Hospice http://n.pr/1BWBYaV"
5.4497E+17,Tue Dec 16 21:39:34 +0000 2014,"India's New Comic Book Hero Fights Rape, Rides On The Back Of A Tiger http://n.pr/1BT7A19"
5.4497E+17,Tue Dec 16 21:39:33 +0000 2014,Abuse Of Synthetic Drugs Declines Across U.S. http://n.pr/1BT7CpE
5.44966E+17,Tue Dec 16 21:23:04 +0000 2014,Teens Now Reach For E-Cigarettes Over Regular Ones http://n.pr/1DIpVme
5.44962E+17,Tue Dec 16 21:07:33 +0000 2014,"When You Burn Off That Fat, Where Does It Go? http://n.pr/1DIlyrp"
5.44946E+17,Tue Dec 16 20:03:21 +0000 2014,A Game Of Ludo Helps Liberians Catch A Break From Ebola http://n.pr/1qXjRAz
5.44921E+17,Tue Dec 16 18:25:34 +0000 2014,Scientists Debate If It's OK To Make Viruses More Dangerous In The Lab http://n.pr/1BS7y9E
5.44905E+17,Tue Dec 16 17:22:04 +0000 2014,Hunt For Dengue Vaccine Gets Closer http://n.pr/1BRMi3O
5.44848E+17,Tue Dec 16 13:36:16 +0000 2014,Few Employers Cover Egg Freezing For Women With Cancer http://n.pr/1BQvBpm
5.44771E+17,Tue Dec 16 08:29:04 +0000 2014,Alaska's Governor Eager To Expand Medicaid http://n.pr/1BP1hLP
5.44647E+17,Tue Dec 16 00:14:12 +0000 2014,"The U.S. Has A Surgeon General, For The First Time In 17 Months http://n.pr/1BMQZMf"
5.4463E+17,Mon Dec 15 23:09:33 +0000 2014,Supreme Court Refuses To Limit Abortion Drug's Use http://n.pr/1DDb10q
5.44618E+17,Mon Dec 15 22:21:34 +0000 2014,Dr. Kent Brantly: The Lessons He's Learned From Fighting Ebola http://n.pr/1DD0sul
5.44598E+17,Mon Dec 15 21:02:36 +0000 2014,"To Get To The Bottom Of Your Microbiome, Start With A Swab Of Poo http://n.pr/1BLQMca"
5.4457E+17,Mon Dec 15 19:11:12 +0000 2014,A Copper Bedrail Could Cut Back On Infections For Hospital Patients http://n.pr/1DCguER
5.44554E+17,Mon Dec 15 18:06:34 +0000 2014,"Endless Ebola Endemic? That's The 'Risk We Face Now,' CDC Says http://n.pr/1BKPFJN"
5.44538E+17,Mon Dec 15 17:03:03 +0000 2014,Prolific Prescribers Of Controlled Substances Face Medicare Scrutiny http://n.pr/1BKqFT5
5.44526E+17,Mon Dec 15 16:14:37 +0000 2014,Small Businesses Drop Coverage As Health Law Offers Alternatives http://n.pr/1DBwren
5.44409E+17,Mon Dec 15 08:29:21 +0000 2014,Congress To Nutritionists: Don't Talk About The Environment http://n.pr/1BHtDrq
5.44409E+17,Mon Dec 15 08:29:20 +0000 2014,"To Stop Teen Drinking Parties, Fine The Parents http://n.pr/1BHtB2I"
5.44222E+17,Sun Dec 14 20:05:19 +0000 2014,"As Ebola Cases Drop, Liberia's Soccer Fans Are Back In The Zone http://n.pr/1BDXa5t"
5.44222E+17,Sun Dec 14 20:05:18 +0000 2014,U.Va. Looks At Ways To Curb Drinking At Its Frat Houses http://n.pr/1BDXaSZ
5.44222E+17,Sun Dec 14 20:05:17 +0000 2014,Health http://n.pr/1BDX9hO
5.44113E+17,Sun Dec 14 12:53:12 +0000 2014,Gritty Ganta: The Liberian Town That Can't Catch A Break http://n.pr/1DvXszU
5.43873E+17,Sat Dec 13 20:58:22 +0000 2014,A Reason To Respect The Miss World Pageant http://n.pr/1BxwNhr
5.43478E+17,Fri Dec 12 18:49:03 +0000 2014,Confusion Over Job-Based Insurance Can Shortchange Consumers http://n.pr/1Do4cQp
5.43474E+17,Fri Dec 12 18:33:19 +0000 2014,Ebola Hot Spots Keep Popping Up In Sierra Leone http://n.pr/1DnZqCn
5.43446E+17,Fri Dec 12 16:42:04 +0000 2014,"As Ebola Epidemic Cooled, Officials Raced To Contain A Sudden Hot Spot http://n.pr/1BpHHFW"
5.43429E+17,Fri Dec 12 15:37:34 +0000 2014,Poo And You: A Journey Into The Guts Of A Microbiome http://n.pr/1Dn8ffO
5.43409E+17,Fri Dec 12 14:16:35 +0000 2014,What Does Everyday Courage Look Like? http://n.pr/1DmKHHR
5.43409E+17,Fri Dec 12 14:16:34 +0000 2014,What Does It Take To Bring Transparency To Medicine? http://n.pr/1DmKHHJ
5.43325E+17,Fri Dec 12 08:41:05 +0000 2014,A Liberian Prof Doesn't Like What He's Seeing On The News Blackboard http://n.pr/1DlnDcx
5.43325E+17,Fri Dec 12 08:41:03 +0000 2014,Liberia's Daily Talk: All The News That Fits On A Blackboard http://n.pr/1DlnCW3
5.4319E+17,Thu Dec 11 23:44:08 +0000 2014,Birds Of A Feather Aren't Necessarily Related http://n.pr/1DjeoJQ
5.4317E+17,Thu Dec 11 22:25:04 +0000 2014,You Don't Want To Monkey Around With Monkey Malaria http://n.pr/1DiSBSo
5.43166E+17,Thu Dec 11 22:09:03 +0000 2014,Football Players Drill Without Helmets To Reduce Concussions http://n.pr/1DiO2aN
5.43158E+17,Thu Dec 11 21:38:31 +0000 2014,U.Va. Looks At Ways To Curb Drinking At Its Frat Houses http://n.pr/1BiJX1M
5.43158E+17,Thu Dec 11 21:38:29 +0000 2014,"As Ebola Cases Drop, Liberia's Soccer Fans Are Back In The Zone http://n.pr/1BiJZ9N"
5.4315E+17,Thu Dec 11 21:07:04 +0000 2014,Unexpected Joint Pain Seen In Test Of Experimental Ebola Vaccine http://n.pr/1DivGqt
5.43074E+17,Thu Dec 11 16:05:10 +0000 2014,Does Snoring Leave Tots More Vulnerable To Childhood Obesity? http://n.pr/1Dh7mFl
5.43022E+17,Thu Dec 11 12:38:16 +0000 2014,Debunking Vaccine Myths Can Have A Surprising Effect http://n.pr/1Bfesp3
5.42813E+17,Wed Dec 10 22:48:34 +0000 2014,From Potatoes To Salty Fries In School: Congress Tweaks Food Rules http://n.pr/1DcJu5Y
5.42805E+17,Wed Dec 10 22:15:38 +0000 2014,Boredom On The Border Between Liberia And Guinea http://n.pr/1BaYn3T
5.42801E+17,Wed Dec 10 22:00:18 +0000 2014,Making The Human Condition Computable http://n.pr/1BaT84d
5.42721E+17,Wed Dec 10 16:42:30 +0000 2014,"Doctors Slow To Adopt Cheaper, Faster Radiation For Breast Cancer http://n.pr/1Db8hHj"
5.42689E+17,Wed Dec 10 14:33:16 +0000 2014,A Crowd Of Scientists Finds A Better Way To Predict Seizures http://n.pr/1DakvjH
5.4262E+17,Wed Dec 10 10:00:29 +0000 2014,Scientists Often Skip A Simple Test That Could Verify Their Work http://n.pr/1B6Mdc8
5.42484E+17,Wed Dec 10 01:00:07 +0000 2014,Why Aren't World Leaders Angrier About Violence Against Women? http://n.pr/1D69a45
5.42443E+17,Tue Dec 09 22:19:05 +0000 2014,This Nursing Home Calms Troubling Behavior Without Risky Drugs http://n.pr/1B3mwcx
5.42399E+17,Tue Dec 09 19:23:04 +0000 2014,A Case Of Mistaken Identity Sends Healthy Boy To An Ebola Ward http://n.pr/1B2oABv
5.42391E+17,Tue Dec 09 18:51:33 +0000 2014,Wellness At Work Often Comes With Strings Attached http://n.pr/1B2dg8G
5.42387E+17,Tue Dec 09 18:33:34 +0000 2014,'Ebola Must Go' — And So Must Prejudice Against Survivors http://n.pr/1D4dUat
5.42258E+17,Tue Dec 09 10:02:52 +0000 2014,Mistaken Identities Plague Lab Work With Human Cells http://n.pr/1AZDbxK
5.42238E+17,Tue Dec 09 08:42:03 +0000 2014,Nursing Homes Rarely Penalized For Oversedating Patients http://n.pr/1D2ekOu
5.4207E+17,Mon Dec 08 21:35:33 +0000 2014,"Ebola Is Down, But Not Out, In Liberia http://n.pr/1D0tcNb"
5.4205E+17,Mon Dec 08 20:16:09 +0000 2014,"Ebola Cases Are Down, So Should Liberians Stop Worrying? http://n.pr/1AVF26L"
5.4203E+17,Mon Dec 08 18:58:24 +0000 2014,"Despite Decline, Elective Early Births Remain A Medicaid Problem http://n.pr/1AV5PQv"
5.42022E+17,Mon Dec 08 18:26:03 +0000 2014,"Ebola, Schmebola — You Still Have To Look Good! http://n.pr/1CZSQ4Q"
5.41998E+17,Mon Dec 08 16:50:04 +0000 2014,"When A Stray Dog's In Trouble, Katmandu's Canine Rescuers Jump To It http://n.pr/1CZyCIu"
5.41994E+17,Mon Dec 08 16:34:19 +0000 2014,Doctors Are Slow To Adopt Changes In Breast Cancer Treatment http://n.pr/1CZu3O8
5.41898E+17,Mon Dec 08 10:13:37 +0000 2014,Medicine's Subtle Art Gives A Man The Chance To Breathe Again http://n.pr/1ARlWOT
5.41898E+17,Mon Dec 08 10:13:36 +0000 2014,Old And Overmedicated: The Real Drug Problem In Nursing Homes http://n.pr/1ARlVdM
5.41886E+17,Mon Dec 08 09:26:03 +0000 2014,"When It Comes To Day Care, Parents Want All Children Vaccinated http://n.pr/1CY7iKJ"
5.41587E+17,Sun Dec 07 13:36:06 +0000 2014,The Decreasing Loneliness Of The Indian Long-Distance Runner http://n.pr/1AKczk7
5.41587E+17,Sun Dec 07 13:36:04 +0000 2014,"If Slow Is Good For Food, Why Not Medicine? http://n.pr/1AKcvAW"
5.41539E+17,Sun Dec 07 10:26:34 +0000 2014,The Decreasing Loneliness Of The Indian Long-Distance Runner http://n.pr/1CUup8K
5.41539E+17,Sun Dec 07 10:26:33 +0000 2014,"If Slow Is Good For Food, Why Not Medicine? http://n.pr/1CUupph"
5.41236E+17,Sat Dec 06 14:20:34 +0000 2014,Idris Elba Plays A Soccer Coach Out To Crush Ebola In New Ad Campaign http://n.pr/1CR97Jg
5.412E+17,Sat Dec 06 11:58:20 +0000 2014,Idris Elba Plays A Soccer Coach Out To Crush Ebola In New Ad Campaign http://n.pr/1ABkHDp
